,ds,y,sunshine_amount,rain_sum,windspeed,air_temperature,day_of_week,month,rolling_avg_temp,warm_and_dry,heavy_rain_fall_weekday,heavy_rain_fall_weekend,heavy_rain_winter_weekday,heavy_rain_spring_weekday,heavy_rain_spring_weekend,specific_month,covid_restriction_christmas,week_number,custom_regressor,fall_start,christmas_shopping,event,ullevaal_big_football_games,weekday_0,weekday_1,weekday_2,weekday_3,weekday_4,weekday_5,weekday_6,index,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,First weekend of christmas school break,First weekend of christmas school break_lower,First weekend of christmas school break_upper,Halloween Day,Halloween Day_lower,Halloween Day_upper,Halloween weekend,Halloween weekend_lower,Halloween weekend_upper,Høstferie weekend,Høstferie weekend_lower,Høstferie weekend_upper,Karrieredag første dag,Karrieredag første dag_lower,Karrieredag første dag_upper,additive_terms,additive_terms_lower,additive_terms_upper,christmas eve,christmas eve_lower,christmas eve_upper,christmas_shopping_new,christmas_shopping_lower,christmas_shopping_upper,closed_days,closed_days_lower,closed_days_upper,covid_restriction_christmas_new,covid_restriction_christmas_lower,covid_restriction_christmas_upper,custom_regressor_new,custom_regressor_lower,custom_regressor_upper,day_before_red_day,day_before_red_day_lower,day_before_red_day_upper,easter,easter_lower,easter_upper,easter_mondaydayoff,easter_mondaydayoff_lower,easter_mondaydayoff_upper,extra_regressors_additive,extra_regressors_additive_lower,extra_regressors_additive_upper,first_may,first_may_lower,first_may_upper,firstweek_jan,firstweek_jan_lower,firstweek_jan_upper,heavy_rain_fall_weekday,heavy_rain_fall_weekday_lower,heavy_rain_fall_weekday_upper,heavy_rain_fall_weekend,heavy_rain_fall_weekend_lower,heavy_rain_fall_weekend_upper,heavy_rain_spring_weekday,heavy_rain_spring_weekday_lower,heavy_rain_spring_weekday_upper,heavy_rain_spring_weekend,heavy_rain_spring_weekend_lower,heavy_rain_spring_weekend_upper,heavy_rain_winter_weekday,heavy_rain_winter_weekday_lower,heavy_rain_winter_weekday_upper,himmelfart,himmelfart_lower,himmelfart_upper,holidays,holidays_lower,holidays_upper,lockdown_1,lockdown_1_lower,lockdown_1_upper,monthly,monthly_lower,monthly_upper,oslo_pride,oslo_pride_lower,oslo_pride_upper,pinse,pinse_lower,pinse_upper,seventeenth_may,seventeenth_may_lower,seventeenth_may_upper,sunshine_amount_new,sunshine_amount_lower,sunshine_amount_upper,ullevaal_big_football_games_new,ullevaal_big_football_games_lower,ullevaal_big_football_games_upper,warm_and_dry,warm_and_dry_lower,warm_and_dry_upper,weekly,weekly_lower,weekly_upper,weekly_fall_start,weekly_fall_start_lower,weekly_fall_start_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat,residuals
0,2021-01-01,0.0,0.0,0.0,0.0,0.0,4,1,0.0,0,0,0,0,0,0,False,False,53,0.0,False,False,,0.0,False,False,False,False,True,False,False,0,0.0,-1.373167230522684e-09,1.367438657442572e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2021-01-02,0.0,0.0,0.0,0.0,0.0,5,1,0.0,0,0,0,0,0,0,False,False,53,0.0,False,False,,0.0,False,False,False,False,False,True,False,1,0.0,-1.2769532275664265e-09,1.3290095417269502e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2021-01-03,0.0,0.0,0.0,0.0,0.0,6,1,0.0,0,0,0,0,0,0,False,False,53,0.0,False,False,,0.0,False,False,False,False,False,False,True,2,0.0,-1.3199893538290866e-09,1.3121713449812206e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2021-01-04,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0,0,0,0,0,0,False,False,1,0.0,False,False,,0.0,True,False,False,False,False,False,False,3,0.0,-1.2915192854199934e-09,1.1905706697392833e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2021-01-05,0.0,0.0,0.0,0.0,0.0,1,1,0.0,0,0,0,0,0,0,False,False,1,0.0,False,False,,0.0,False,True,False,False,False,False,False,4,0.0,-1.2803077753973327e-09,1.2742397077953274e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2021-01-06,0.0,0.0,0.0,0.0,0.0,2,1,0.0,0,0,0,0,0,0,False,False,1,0.0,False,False,,0.0,False,False,True,False,False,False,False,5,0.0,-1.284101887486178e-09,1.4020415145502121e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2021-01-07,0.0,0.0,0.0,0.0,0.0,3,1,0.0,0,0,0,0,0,0,False,False,1,0.0,False,False,,0.0,False,False,False,True,False,False,False,6,0.0,-1.2976420631698206e-09,1.2089102198119255e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2021-01-08,0.0,0.0,0.0,0.0,0.0,4,1,0.0,0,0,0,0,0,0,False,False,1,0.0,False,False,,0.0,False,False,False,False,True,False,False,7,0.0,-1.340696935896775e-09,1.1632607336692017e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2021-01-09,0.0,0.0,0.0,0.0,0.0,5,1,0.0,0,0,0,0,0,0,False,False,1,0.0,False,False,,0.0,False,False,False,False,False,True,False,8,0.0,-1.2710828388592714e-09,1.2990228042594598e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2021-01-10,0.0,0.0,0.0,0.0,0.0,6,1,0.0,0,0,0,0,0,0,False,False,1,0.0,False,False,,0.0,False,False,False,False,False,False,True,9,0.0,-1.1926747054049293e-09,1.2862247864796068e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
